,Assvie,Sexe,Age,Couple,Statmat,Nat,Dip,Occ,Work,Statpro,Herit,Pere,Mere,Gpp,Gpm,Evtgrav,Livep,Eplog,Epsal,Vmob,Livdf,Pel,Cel,Pep,Assdec,Retraite,Capi,Pea,Urbani,Zres,Nbenf,Logt,Terre,Dette,Detlog,Detvo
1588,N,F,42,O,mar,fra,tec,act,catC,priv,N,N,O,N,N,O,O,O,N,N,O,N,O,N,N,N,N,N,U2,idf,0,prop,N,O,O,N
1589,N,H,70,O,mar,fra,tec,ret,catA,priv,N,N,N,N,N,O,O,N,N,N,O,N,N,N,N,N,N,N,U2,idf,0,prop,N,N,N,N
1590,N,F,65,O,mar,fra,tec,ret,catB,pub,N,N,N,N,N,N,O,N,N,N,O,N,N,N,N,N,N,N,U2,idf,0,prop,N,N,N,N
1591,N,H,48,O,mar,fra,bac+2,act,catA,priv,N,O,O,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,U2,idf,0,prop,N,O,O,O
1592,N,F,43,O,mar,fra,bac+2,act,,ind,N,O,O,N,O,O,O,N,N,N,O,N,N,N,N,N,N,N,U2,idf,0,prop,N,O,O,O
1593,N,H,21,N,cel,fra,,ina,,,N,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,U2,idf,0,prop,N,O,O,O
1594,N,H,36,O,mar,fra,tec,act,catC,priv,N,O,O,N,O,O,N,N,O,N,N,N,N,N,N,N,N,N,U2,idf,0,loc,N,O,N,O
1595,N,H,46,O,mar,fra,bepc,act,catA,priv,N,O,N,N,N,O,N,N,O,N,N,N,N,N,N,N,N,N,U2,idf,0,prop,N,O,O,N
1596,N,H,47,O,mar,fra,bac+5,act,catC,priv,N,N,O,N,N,O,O,N,N,N,O,N,N,N,N,N,N,N,U2,idf,0,prop,N,O,N,N
1597,N,H,34,N,cel,fra,bac+2,act,catC,priv,N,O,O,O,N,O,O,O,O,N,O,O,O,N,N,N,N,N,U3,idf,0,loc,N,N,N,N
1598,N,H,26,O,cel,fra,tec,act,catC,priv,N,N,O,N,N,N,O,N,N,N,O,N,N,N,N,N,N,N,U3,idf,0,loc,N,O,N,O
1599,N,F,26,O,cel,fra,tec,act,Waut,pub,O,O,O,O,N,N,O,N,N,N,O,N,N,N,N,N,N,N,U3,idf,0,loc,N,O,N,O
1600,N,F,67,N,veu,fra,tec,ret,catC,priv,N,N,N,N,N,N,O,N,N,O,O,N,N,N,N,N,N,O,U3,idf,1,prop,N,O,O,N
1601,N,H,59,N,div,fra,bac+5,act,,ind,O,N,O,N,N,N,O,O,N,O,O,N,O,N,O,N,N,N,U3,idf,2,prop,N,N,N,N
1602,N,H,56,O,mar,fra,tec,act,catC,pub,O,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,U3,idf,2,prop,N,O,O,N
1603,N,H,44,O,div,fra,bac+5,act,Waut,priv,N,O,O,N,N,O,N,O,O,O,N,O,O,N,N,N,N,O,U3,idf,0,prop,N,O,O,N
1604,N,F,70,N,div,nat,sans,ret,catC,priv,N,N,N,N,N,N,O,N,N,N,O,N,N,N,O,N,N,N,U3,idf,3,loc,N,N,N,N
1605,N,H,57,O,mar,fra,bacg,ina,catB,pub,N,N,O,N,O,O,N,N,N,N,N,N,N,N,N,N,N,N,U3,idf,5,prop,O,O,N,N
1606,N,H,83,O,mar,fra,sans,ret,,ind,N,N,N,N,N,O,O,N,N,N,O,N,N,N,N,N,N,N,U3,idf,2,prop,N,N,N,N
1607,N,F,84,O,mar,fra,sans,ret,catC,pub,N,,,N,N,N,O,N,N,N,O,N,N,N,N,N,N,N,U3,idf,2,prop,N,N,N,N
1608,N,H,51,O,mar,etr,tec,act,catC,priv,N,O,O,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,U3,idf,0,prop,N,O,O,N
1609,N,F,38,O,mar,etr,sans,ina,,,N,O,O,N,O,O,O,N,N,N,O,N,N,N,N,N,N,N,U3,idf,0,prop,N,O,O,N
1610,N,F,21,N,cel,etr,,ina,,,N,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,U3,idf,0,prop,N,O,O,N
1611,N,H,33,O,mar,fra,sans,act,emp,pub,N,O,O,N,O,O,O,O,N,N,O,O,N,N,N,N,N,N,U3,idf,0,loc,N,N,N,N
1612,N,F,30,O,mar,fra,sans,act,catC,priv,N,O,O,O,N,O,O,O,N,N,O,O,N,N,N,N,N,N,U3,idf,0,loc,N,N,N,N
1613,O,F,51,O,mar,fra,cep,act,catC,priv,N,O,O,N,N,N,N,N,N,N,N,N,N,O,O,N,N,N,U3,idf,1,loc,N,N,N,N
1614,N,H,35,O,mar,etr,bac+2,act,catA,pub,N,N,O,N,O,N,N,N,N,N,N,N,N,N,N,N,N,N,U3,idf,0,loc,N,N,N,N
1615,N,H,27,N,cel,fra,bacg,ina,emp,pub,N,N,O,O,O,N,O,N,N,N,O,N,N,N,N,N,N,N,U3,idf,1,loc,N,N,N,N
1616,N,F,22,N,cel,fra,,ina,,,N,,,,,,O,N,N,N,O,N,N,N,N,N,N,N,U3,idf,0,prop,N,O,O,N
1617,O,F,81,N,veu,fra,cep,ret,emp,priv,O,N,N,N,N,N,O,N,N,O,O,N,N,N,N,N,N,O,U3,idf,2,prop,N,N,N,N
1618,N,H,60,N,div,nat,bac+5,act,catA,pub,N,N,N,N,N,O,O,N,N,N,O,N,N,N,N,O,N,N,U3,idf,3,loc,N,O,N,N
1619,N,F,23,N,cel,fra,bac+2,act,emp,pub,N,O,O,O,O,N,O,N,N,N,O,N,N,N,N,N,N,N,U3,idf,0,loc,N,N,N,N
1620,O,F,35,N,cel,fra,tec,ina,catC,priv,N,N,O,N,N,N,O,O,N,O,O,N,O,N,N,N,N,O,U3,idf,0,prop,N,O,O,N
1621,N,H,55,O,mar,fra,bacg,act,emp,priv,N,N,O,N,N,O,O,O,O,N,O,N,O,N,O,N,N,N,U3,idf,2,prop,N,O,N,N
1622,N,F,51,O,mar,fra,bacg,act,emp,priv,N,N,N,N,N,O,O,O,N,N,O,O,O,N,O,N,N,N,U3,idf,2,prop,N,O,N,N
1623,N,H,74,O,mar,fra,sans,ret,catC,priv,N,N,N,N,N,N,O,N,N,N,O,N,N,N,N,N,N,N,U3,idf,2,prop,N,N,N,N
1624,N,F,78,O,mar,fra,cep,ret,catC,priv,N,N,N,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,U3,idf,2,prop,N,N,N,N
1625,N,H,27,O,mar,fra,tec,act,emp,pub,N,O,O,N,O,O,O,N,O,N,O,N,N,N,O,N,N,N,U5,idf,0,loc,N,O,N,N
1626,N,H,33,O,mar,fra,cep,act,emp,pub,N,O,O,O,N,N,O,N,N,O,O,N,N,N,N,N,N,N,U5,idf,0,loc,N,O,N,N
1627,O,F,32,O,mar,fra,cep,act,emp,priv,N,O,O,O,N,O,N,N,N,O,N,N,N,N,N,N,N,N,U5,idf,0,loc,N,O,N,N
1628,N,H,26,O,mar,fra,bac+2,act,catC,priv,N,O,O,N,O,N,N,N,O,N,N,N,N,N,N,N,N,N,U5,idf,0,loc,N,N,N,N
1629,N,F,24,O,cel,fra,bacg,act,emp,priv,N,O,O,O,O,O,O,N,N,N,O,N,N,N,N,N,N,N,U5,idf,0,loc,N,N,N,N
1630,O,H,45,O,mar,etr,bacg,act,emp,priv,N,N,N,N,N,O,O,N,O,N,O,N,N,N,N,N,N,N,U5,idf,0,prop,N,O,O,N
1631,N,F,60,N,cel,fra,bacg,ret,catA,pub,O,N,N,N,N,N,O,O,N,O,N,O,N,N,N,N,N,N,U5,idf,0,prop,N,O,O,N
1632,N,H,69,O,mar,etr,,ret,emp,priv,N,N,N,N,N,O,O,N,N,N,O,N,N,N,N,N,N,N,U5,idf,5,loc,N,O,N,O
1633,N,F,69,O,mar,fra,,ret,emp,priv,N,N,N,N,N,N,O,N,N,N,O,N,N,N,N,N,N,N,U5,idf,5,loc,N,O,N,O
1634,N,H,56,N,div,etr,bacg,act,,ind,N,N,N,N,N,O,O,N,N,N,N,N,N,N,N,N,N,N,U5,idf,0,prop,N,N,N,N
1635,N,H,43,N,div,fra,bac+2,act,catA,pub,O,O,N,N,N,N,O,O,N,O,O,N,O,O,N,N,N,N,U5,idf,0,prop,O,O,N,N
1636,O,F,60,N,div,fra,bacg,ret,emp,pub,O,N,O,N,N,N,O,N,N,O,O,N,N,N,N,O,N,O,U5,idf,3,prop,N,N,N,N
1637,N,F,47,O,mar,fra,tec,act,catC,priv,N,N,O,N,N,O,N,N,O,N,N,N,N,N,N,N,N,N,U5,idf,1,prop,N,O,N,O
1638,N,H,32,O,cel,etr,cep,act,emp,priv,N,N,O,O,N,N,N,N,N,N,N,N,N,N,N,N,N,N,U5,idf,0,prop,N,O,O,N
1639,N,F,27,O,mar,fra,tec,ina,emp,priv,N,O,O,O,O,O,N,N,N,N,N,N,N,N,N,N,N,N,U5,idf,0,prop,N,O,O,N
1640,O,F,29,O,mar,fra,bacg,act,emp,priv,N,O,O,N,N,O,O,O,N,N,O,O,O,N,N,O,N,N,U5,idf,0,loc,N,O,N,N
1641,N,H,41,O,mar,fra,bact,act,emp,pub,N,N,O,N,N,N,O,O,N,N,O,O,N,N,N,N,N,N,U5,idf,0,prop,N,O,O,N
1642,N,F,48,O,mar,fra,bact,ret,emp,pub,N,O,O,N,N,N,O,O,N,N,O,O,N,N,N,N,N,N,U5,idf,0,prop,N,O,O,N
1643,N,H,37,O,mar,fra,tec,act,catB,priv,N,O,O,N,O,O,O,N,O,N,O,N,N,N,N,N,N,N,U5,idf,0,prop,N,O,O,N
1644,N,F,35,O,mar,fra,bact,act,emp,priv,N,O,O,N,N,O,O,N,N,N,O,N,N,N,N,N,N,N,U5,idf,0,prop,N,O,O,N
1645,N,F,50,O,mar,fra,tec,act,emp,pub,N,N,O,N,N,O,O,O,N,N,O,N,O,N,O,N,N,N,U5,idf,2,loc,N,N,N,N
1646,N,H,43,O,mar,fra,bac+5,act,catA,priv,O,O,O,N,N,O,O,N,O,O,O,N,N,N,N,N,N,N,U5,idf,0,prop,O,O,N,N
1647,N,F,39,O,mar,fra,bacg,act,catA,pub,O,O,O,N,N,O,O,N,N,N,O,N,N,N,N,N,N,N,U5,idf,0,prop,O,O,N,N
1648,N,H,65,N,veu,fra,cep,ret,catB,pub,O,N,N,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,U5,idf,1,prop,N,N,N,N
1649,O,H,55,O,mar,fra,tec,act,,ind,N,N,N,N,N,O,O,N,N,O,O,N,N,N,N,N,N,O,U5,idf,3,prop,N,N,N,N
1650,N,F,53,O,mar,fra,tec,act,emp,priv,N,O,N,N,N,O,O,O,O,O,O,O,N,N,N,N,N,O,U5,idf,3,prop,N,N,N,N
1651,O,F,56,O,mar,fra,bacg,act,catA,priv,N,N,O,N,N,O,O,O,N,O,O,O,N,N,N,N,N,N,U5,idf,2,prop,N,O,N,O
1652,N,H,56,N,cel,fra,bac+5,act,catA,pub,O,N,N,N,N,O,O,O,N,N,O,O,N,N,N,N,N,N,U5,idf,0,loc,N,N,N,N
1653,N,H,63,O,mar,fra,sans,ret,catC,priv,N,N,N,N,N,O,O,N,N,N,O,N,N,N,N,N,N,N,U5,idf,1,prop,N,O,N,O
1654,O,F,24,O,mar,fra,bac+2,act,emp,priv,N,O,O,O,O,O,N,N,N,N,N,N,N,N,N,N,N,N,U5,idf,0,loc,N,O,N,N
1655,N,H,22,N,cel,fra,,ina,,,N,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,U5,idf,1,prop,N,N,N,N
1656,N,H,62,O,mar,fra,bact,ret,catB,pub,N,N,N,N,N,N,O,N,N,N,O,N,N,N,N,N,N,N,U5,idf,4,prop,N,O,N,N
1657,N,F,59,O,mar,fra,bact,ret,emp,pub,N,N,N,N,N,O,O,N,N,N,O,N,N,N,N,N,N,N,U5,idf,4,prop,N,O,N,N
1658,O,H,52,O,mar,fra,bac+5,act,catA,pub,N,N,O,N,N,N,N,N,N,O,N,N,N,N,N,N,N,O,U5,idf,1,prop,N,O,O,N
1659,N,H,51,O,mar,fra,bac+5,act,catA,pub,N,N,N,N,N,N,O,N,N,N,O,N,N,N,N,N,N,N,U5,idf,0,prop,N,O,O,N
1660,N,F,22,N,cel,fra,,ina,,,N,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,U5,idf,0,prop,N,O,O,N
1661,N,F,22,N,cel,fra,bacg,act,emp,priv,N,O,O,N,N,N,N,O,N,N,N,O,N,N,N,N,N,N,U5,idf,0,loc,N,N,N,N
1662,N,F,29,N,cel,fra,bac+5,act,catA,pub,N,N,N,O,O,O,O,N,N,N,O,N,N,N,N,N,N,N,U5,idf,0,loc,N,N,N,N
1663,N,H,85,O,mar,fra,cep,ret,emp,pub,N,N,N,N,N,N,O,O,N,N,O,O,N,N,N,N,N,N,U5,idf,1,prop,N,N,N,N
1664,O,H,27,O,mar,fra,bacg,act,emp,pub,N,N,O,N,O,N,O,N,N,N,O,N,N,N,N,N,N,N,U5,idf,0,prop,N,O,N,O
1665,O,F,26,O,mar,fra,bac+5,act,emp,priv,N,O,O,O,N,O,O,N,O,N,O,N,N,N,N,N,N,N,U5,idf,0,prop,N,O,N,O
1666,O,H,61,O,mar,fra,tec,ret,catB,priv,N,N,N,N,N,O,O,N,N,N,O,N,N,N,N,N,N,N,U5,idf,3,loc,N,O,N,N
1667,O,F,61,O,mar,fra,tec,ret,catC,priv,N,N,O,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,U5,idf,3,loc,N,O,N,N
1668,O,F,70,O,mar,fra,bac+2,ret,catB,pub,O,N,N,N,N,O,O,O,N,N,O,O,N,N,N,N,N,N,U5,idf,3,prop,N,N,N,N
1669,N,F,33,O,mar,fra,tec,act,emp,priv,N,O,O,N,O,O,O,O,N,N,O,O,N,N,N,N,N,N,U5,idf,0,prop,N,O,O,O
1670,N,F,70,O,veu,fra,sans,ret,catC,priv,N,N,N,N,N,N,N,N,N,N,N,N,N,N,O,N,N,N,U5,idf,9,loc,N,N,N,N
1671,N,F,24,N,cel,fra,,ina,,,N,,,,,,O,N,N,N,O,N,N,N,N,N,N,N,U5,idf,4,loc,O,N,N,N
1672,N,F,78,N,cel,fra,,ret,emp,pub,N,,,,,,N,N,N,O,N,N,N,N,N,N,N,N,U5,idf,4,loc,O,N,N,N
1673,N,H,56,O,mar,fra,tec,act,,ind,N,O,O,N,N,O,O,N,N,N,O,N,N,N,N,N,N,N,U5,idf,2,prop,N,N,N,N
1674,N,F,54,O,mar,fra,sans,ina,emp,priv,N,O,O,N,N,O,O,O,N,N,O,O,N,N,N,N,N,N,U5,idf,2,prop,N,N,N,N
1675,O,H,34,O,cel,fra,bac+2,act,catA,priv,N,N,O,O,N,O,O,O,O,N,O,O,O,N,N,N,N,N,U5,idf,0,prop,N,O,O,N
1676,N,H,25,N,cel,etr,,ina,,,N,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,U5,idf,0,prop,N,O,O,O
1677,N,F,24,N,cel,fra,,ina,emp,priv,N,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,U5,idf,0,prop,N,O,O,O
1678,N,H,22,N,cel,fra,,act,emp,pub,N,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,U5,idf,0,prop,N,O,O,O
1679,N,F,26,O,cel,nat,bac+2,act,emp,priv,N,O,O,O,O,O,O,N,N,N,O,N,N,N,N,N,N,N,U5,idf,1,loc,N,N,N,N
1680,N,H,26,N,cel,fra,,act,emp,priv,N,,,,,,O,N,O,N,O,N,N,N,N,N,N,N,U5,idf,0,loc,N,O,N,N
1681,N,F,37,O,cel,fra,tec,ina,emp,pub,N,N,O,N,N,N,N,O,N,N,N,N,O,N,N,N,N,N,U5,idf,0,loc,N,N,N,N
1682,N,H,60,O,mar,etr,sans,ret,catC,priv,O,N,N,N,N,N,O,N,N,N,O,N,N,N,N,N,N,N,U5,idf,2,prop,N,N,N,N
1683,N,F,59,O,mar,etr,sans,act,emp,priv,N,N,N,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,U5,idf,2,prop,N,N,N,N
1684,O,H,60,O,mar,fra,tec,ret,catC,priv,O,N,N,N,N,O,O,N,O,N,O,N,N,O,N,N,N,N,U5,idf,4,prop,N,N,N,N
1685,O,F,62,O,mar,fra,bacg,ret,catB,pub,N,N,N,N,N,O,O,O,N,N,O,O,N,O,N,N,N,N,U5,idf,4,prop,N,N,N,N
1686,N,H,52,O,mar,fra,bac+5,act,catA,priv,O,N,N,N,N,O,O,N,O,N,O,N,N,N,N,O,N,N,U5,idf,0,prop,N,N,N,N
1687,N,F,59,O,veu,fra,bepc,ina,emp,priv,N,N,O,N,N,N,O,N,N,O,O,N,N,N,N,N,N,O,U5,idf,6,prop,N,N,N,N
1688,N,H,46,O,mar,fra,bacg,act,emp,pub,N,O,O,N,N,N,O,O,N,N,O,O,N,N,N,N,N,N,U5,idf,4,prop,N,O,N,O
1689,N,F,32,O,mar,fra,tec,act,emp,pub,N,O,O,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,U5,idf,4,prop,N,O,N,O
1690,N,H,54,O,mar,fra,cep,act,emp,priv,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,U5,idf,0,prop,N,N,N,N
1691,N,H,28,N,cel,nat,,act,emp,pub,N,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,U5,idf,1,loc,N,O,N,N
1692,O,F,25,N,cel,nat,,act,emp,priv,N,,,,,,O,O,N,N,O,N,O,N,N,N,N,N,U5,idf,1,loc,N,O,N,N
1693,N,F,35,O,mar,fra,bac+5,act,catA,pub,N,O,O,N,N,O,O,N,N,N,O,N,N,N,N,O,N,N,U5,idf,0,loc,N,O,N,O
1694,O,F,58,N,cel,fra,tec,ret,catB,pub,N,O,N,N,N,N,O,O,N,N,O,O,N,N,N,N,N,N,U5,idf,0,prop,N,O,O,N
1695,N,F,67,O,mar,fra,cep,ina,,,N,N,N,N,N,N,O,N,N,N,O,N,N,N,O,N,N,N,U5,idf,2,loc,N,N,N,N
1696,O,H,56,O,mar,fra,tec,act,catA,priv,N,N,O,N,N,N,O,O,N,O,O,N,O,N,N,N,N,N,U5,idf,2,prop,N,N,N,N
1697,O,F,56,O,mar,fra,tec,act,emp,priv,N,O,O,N,N,O,O,N,N,N,O,N,N,N,N,N,N,N,U5,idf,2,prop,N,N,N,N
1698,N,F,33,N,cel,fra,sans,ina,,,N,N,N,N,N,N,O,N,N,N,O,N,N,N,N,N,N,N,U5,idf,0,loc,N,N,N,N
1699,N,H,21,N,cel,fra,,act,catC,priv,N,,,,,,O,N,N,N,O,N,N,N,N,N,N,N,U1,par,2,loc,N,O,N,N
1700,N,H,49,O,mar,fra,tec,act,catB,priv,N,O,O,N,N,O,O,N,O,N,O,N,N,N,N,O,N,N,U1,par,2,prop,N,O,O,O
1701,N,F,47,O,mar,fra,bepc,act,emp,pub,N,N,O,N,N,N,N,N,N,O,N,N,N,N,N,N,N,O,U1,par,2,prop,N,O,O,O
1702,N,F,67,N,veu,nat,cep,ret,catC,priv,O,N,N,N,N,O,O,N,N,N,O,N,N,N,O,N,N,N,U1,par,8,prop,N,N,N,N
1703,N,H,74,O,mar,fra,sans,ret,catC,priv,N,N,N,N,N,N,N,N,N,N,N,N,N,O,O,N,N,N,U1,par,1,loc,N,N,N,N
1704,N,F,73,O,mar,fra,cep,ret,emp,priv,N,N,N,N,N,N,O,N,N,N,O,N,N,O,O,N,N,N,U1,par,1,loc,N,N,N,N
1705,N,F,43,N,cel,fra,,act,emp,pub,N,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,U1,par,1,loc,N,N,N,N
1706,N,F,69,N,cel,fra,tec,ret,emp,priv,N,N,N,N,N,N,O,N,N,N,O,N,N,N,N,N,N,N,U1,par,1,prop,N,N,N,N
1707,N,F,62,N,cel,fra,,ret,emp,priv,N,,,,,,O,N,N,N,O,N,N,N,N,N,N,N,U1,par,1,prop,N,N,N,N
1708,N,H,63,O,mar,nat,tec,ret,catC,priv,N,N,N,N,N,N,O,O,N,N,O,N,O,N,N,N,N,N,U1,par,4,prop,N,N,N,N
1709,N,H,56,O,mar,fra,tec,act,,ind,N,N,O,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,U1,par,2,prop,N,O,N,O
1710,N,H,76,O,mar,fra,cep,ret,,ind,O,N,N,N,N,N,O,N,N,N,O,N,N,N,N,N,N,N,U1,par,4,prop,O,O,N,N
1711,O,F,69,O,mar,fra,cep,ret,emp,pub,O,N,N,N,N,N,O,N,N,N,O,N,N,N,N,N,N,N,U1,par,4,prop,O,O,N,N
1712,N,H,33,O,mar,fra,bac+2,act,Waut,priv,N,O,O,N,N,O,O,N,N,N,O,N,N,O,N,N,N,N,U1,par,0,prop,N,O,O,N
1713,N,F,30,O,mar,fra,bac+2,ina,catC,priv,N,O,O,N,N,O,O,N,O,N,O,N,N,N,N,N,N,N,U1,par,0,prop,N,O,O,N
1714,O,H,44,N,cel,fra,bac+5,act,catA,pub,N,N,O,N,N,N,O,O,N,O,O,O,N,O,N,N,N,O,U3,par,0,loc,N,N,N,N
1715,O,H,35,O,mar,fra,bac+5,act,catA,priv,O,O,O,N,N,O,O,O,O,N,O,O,N,N,N,O,N,N,U3,par,0,prop,N,O,O,N
1716,O,F,31,O,mar,fra,tec,act,,ind,O,O,O,O,O,O,O,N,N,N,O,N,N,N,N,O,N,N,U3,par,0,prop,N,O,O,N
1717,N,H,29,N,cel,fra,bac+5,ina,catC,priv,O,N,O,O,O,N,O,O,N,N,O,O,N,N,N,N,N,N,U3,par,0,loc,N,N,N,N
1718,N,F,41,N,cel,fra,sans,act,catC,pub,N,N,O,N,N,O,O,N,N,N,O,N,N,N,N,N,N,N,U3,par,0,loc,N,O,N,N
1719,N,H,39,N,cel,fra,sans,ina,catC,priv,N,N,N,N,N,N,O,N,N,N,O,N,N,N,N,N,N,N,U3,par,0,loc,N,N,N,N
1720,N,F,81,O,mar,fra,cep,ret,Waut,priv,O,N,N,N,N,O,O,N,N,N,O,N,N,N,O,N,N,N,U3,par,1,prop,N,O,N,N
1721,O,H,77,O,mar,fra,cep,ret,emp,priv,O,N,N,N,N,O,O,O,N,O,O,O,N,N,N,N,O,O,U3,par,2,prop,N,N,N,N
1722,N,F,23,N,cel,fra,sans,ina,,,N,N,O,O,O,N,N,N,N,N,N,N,N,N,N,N,N,N,U3,par,1,loc,N,O,N,N
1723,O,F,46,N,div,fra,cep,act,catC,priv,O,N,O,N,N,O,O,O,N,N,O,O,N,N,N,N,N,N,U3,par,0,loc,N,O,N,O
1724,N,H,44,O,mar,fra,bepc,act,Waut,priv,N,N,O,N,N,N,O,N,N,N,O,N,N,N,N,N,N,N,U3,par,2,loc,N,N,N,N
1725,N,F,40,O,mar,fra,bepc,ina,emp,pub,N,O,O,N,N,N,O,N,N,N,O,N,N,N,N,N,N,N,U3,par,2,loc,N,N,N,N
1726,O,H,74,O,mar,fra,bacg,ret,catA,priv,N,N,N,N,N,O,O,O,N,O,O,O,O,O,N,N,N,O,U3,par,2,prop,N,N,N,N
1727,N,H,53,N,div,fra,sans,ina,catC,priv,N,N,O,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,U3,par,4,loc,N,N,N,N
1728,N,H,57,N,div,fra,cep,act,,ind,N,O,O,N,N,O,O,O,N,N,O,O,N,N,N,N,N,N,U1,par,0,prop,N,O,N,O
1729,N,F,23,N,cel,fra,,ina,emp,pub,N,,,,,,O,N,N,N,O,N,N,N,N,N,N,N,U1,par,0,prop,N,O,N,O
1730,N,F,82,O,mar,fra,sans,ret,Waut,priv,N,N,N,N,N,O,O,N,N,N,O,N,N,N,N,N,N,N,U1,par,4,prop,O,N,N,N
1731,N,F,72,O,mar,fra,sans,ret,emp,pub,N,N,N,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,U1,par,4,prop,N,N,N,N
1732,O,H,36,O,mar,fra,bac+2,act,,ind,O,O,N,N,N,O,O,O,N,O,O,O,O,N,N,O,N,O,U1,par,0,prop,N,O,O,N
1733,N,F,34,O,mar,fra,bac+2,act,,ind,N,O,O,N,N,O,N,O,N,N,N,O,O,N,O,N,N,N,U1,par,0,prop,N,O,O,N
1734,O,H,46,O,mar,fra,tec,act,,ind,O,O,O,N,N,O,O,O,O,O,O,O,O,O,N,O,N,O,U1,par,1,prop,N,O,O,N
1735,N,H,21,O,cel,fra,,act,catC,priv,N,,,,,,O,O,O,O,O,O,O,N,N,N,N,N,U1,par,1,prop,N,O,O,N
1736,O,H,85,O,mar,fra,sans,ret,,ind,O,N,N,N,N,O,O,N,N,O,O,N,N,N,N,N,N,O,U1,par,2,prop,O,N,N,N
1737,N,F,71,N,veu,fra,cep,ret,,ind,N,N,N,N,N,O,O,O,N,N,O,O,O,N,N,N,N,N,U1,par,2,prop,O,O,N,O
1738,N,H,46,N,cel,fra,,act,emp,pub,N,,,,,,O,O,N,N,O,O,O,N,N,N,N,N,U1,par,2,prop,O,O,N,O
1739,N,H,93,O,mar,fra,sans,ret,,ind,O,N,N,N,N,O,O,N,N,N,O,N,N,N,N,N,N,N,U1,par,0,prop,O,N,N,N
1740,N,F,78,O,mar,fra,cep,ret,,ind,N,N,N,N,N,O,O,N,N,N,O,N,N,N,N,N,N,N,U1,par,0,prop,O,N,N,N
1741,O,H,26,O,cel,fra,bacg,act,catC,priv,O,N,O,N,O,O,O,O,N,N,O,O,N,N,N,N,N,N,U1,par,0,prop,N,N,N,N
1742,N,H,26,N,cel,fra,,ina,,,N,,,,,,O,O,N,N,O,O,N,N,N,N,N,N,U1,par,0,prop,N,N,N,N
1743,N,F,41,N,div,fra,bac+2,act,catB,pub,N,O,O,N,N,O,O,N,N,N,O,N,N,N,N,N,N,N,U1,par,0,prop,N,O,O,N
1744,N,F,83,N,cel,fra,sans,ret,catC,pub,O,N,N,N,N,N,O,N,N,N,O,N,N,N,N,N,N,N,U1,par,0,prop,N,N,N,N
1745,O,F,74,N,veu,fra,cep,ret,,ind,O,N,N,,,O,O,O,N,N,O,N,O,N,N,N,N,N,U1,par,5,prop,N,N,N,N
1746,N,F,33,O,cel,fra,tec,act,emp,priv,N,O,N,N,O,O,N,N,O,N,N,N,N,N,N,N,N,N,U4,par,0,loc,N,O,N,O
1747,N,F,24,N,cel,fra,bac+5,ina,Waut,priv,N,O,O,N,O,N,O,O,N,N,O,N,O,N,N,N,N,N,U4,par,0,loc,N,N,N,N
1748,N,H,26,O,cel,fra,tec,act,catC,priv,N,O,O,O,O,N,N,N,N,N,N,N,N,N,N,N,N,N,U4,par,0,loc,N,O,N,O
1749,N,H,28,O,cel,fra,bacg,act,catB,pub,N,O,O,N,N,N,O,N,N,N,O,N,N,N,O,N,N,N,U4,par,0,loc,N,O,N,O
1750,N,F,25,O,cel,fra,bac+2,act,catB,pub,N,O,O,N,N,O,O,O,N,N,O,N,O,N,N,N,N,N,U4,par,0,loc,N,O,N,O
1751,N,H,47,O,mar,fra,tec,act,,ind,N,N,O,N,N,N,O,N,N,O,O,N,N,N,N,N,N,N,U4,par,0,prop,N,O,O,N
1752,N,F,37,O,mar,fra,bepc,act,emp,priv,N,O,O,N,O,O,O,O,O,O,O,N,O,N,N,N,N,N,U4,par,0,prop,N,O,O,N
1753,N,F,48,N,div,fra,bac+2,act,emp,pub,O,N,N,N,N,N,O,O,N,N,O,O,N,N,N,N,N,N,U1,par,1,prop,N,O,N,O
1754,N,F,42,N,div,fra,bacg,act,catB,pub,O,N,N,N,N,N,O,N,N,N,O,N,N,N,N,N,N,N,U1,par,0,prop,N,O,O,O
1755,N,F,58,O,mar,fra,cep,ina,emp,priv,O,N,N,N,N,O,O,N,N,N,O,N,N,N,N,N,N,N,U1,par,3,prop,N,O,N,O
